epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3285.21,0.86311,0.63792,1.33108,0.96167,0.9162,0.94312,0.71222,0.95964,0.55392,1.45421,0.000609939,0.000609939,0.000609939
43,3363.21,0.85147,0.64457,1.32703,0.94939,0.92628,0.94248,0.70799,0.96857,0.54288,1.46571,0.000597718,0.000597718,0.000597718
44,3441.49,0.84522,0.6395,1.3252,0.94603,0.93193,0.94689,0.71415,0.96677,0.54219,1.45053,0.000585497,0.000585497,0.000585497
45,3519.8,0.85994,0.62789,1.32692,0.95388,0.92657,0.94435,0.71413,0.94521,0.54925,1.44978,0.000573276,0.000573276,0.000573276
46,3597.63,0.84919,0.61662,1.32121,0.96034,0.91897,0.9429,0.71029,0.95818,0.54877,1.45217,0.000561055,0.000561055,0.000561055
47,3675.77,0.85216,0.62325,1.32106,0.96812,0.92144,0.94634,0.7135,0.95314,0.53346,1.44199,0.000548834,0.000548834,0.000548834
48,3753.67,0.84495,0.61972,1.31958,0.95633,0.92202,0.94552,0.71495,0.95288,0.54674,1.43633,0.000536613,0.000536613,0.000536613
49,3831.42,0.85013,0.61322,1.31525,0.9472,0.93204,0.9418,0.70895,0.96438,0.55822,1.44678,0.000524392,0.000524392,0.000524392
50,3909.56,0.84593,0.60311,1.31479,0.96281,0.92678,0.94376,0.71126,0.96146,0.5479,1.43825,0.000512171,0.000512171,0.000512171
51,3987.51,0.83674,0.61702,1.31111,0.94666,0.92827,0.9461,0.71995,0.94918,0.5367,1.42473,0.00049995,0.00049995,0.00049995
52,4065.86,0.8491,0.61494,1.31336,0.95897,0.92437,0.94729,0.72215,0.93843,0.54141,1.41848,0.000487729,0.000487729,0.000487729
53,4143.94,0.83598,0.59389,1.31001,0.9476,0.92793,0.94381,0.71956,0.94132,0.53642,1.42373,0.000475508,0.000475508,0.000475508
54,4222.15,0.8445,0.60739,1.31623,0.96524,0.91992,0.94168,0.7129,0.95767,0.55123,1.44202,0.000463287,0.000463287,0.000463287
55,4300.13,0.83264,0.59002,1.30958,0.96757,0.92372,0.94481,0.71627,0.94458,0.52985,1.43448,0.000451066,0.000451066,0.000451066
56,4377.99,0.82501,0.5879,1.30389,0.95832,0.93225,0.94849,0.72008,0.93072,0.52995,1.41713,0.000438845,0.000438845,0.000438845
57,4456.26,0.81659,0.59706,1.29646,0.96036,0.93025,0.94883,0.72042,0.9515,0.538,1.43748,0.000426624,0.000426624,0.000426624
58,4533.98,0.81562,0.57984,1.29545,0.95869,0.92651,0.94556,0.72678,0.92739,0.53088,1.41144,0.000414403,0.000414403,0.000414403
59,4611.28,0.81011,0.58714,1.29644,0.96713,0.92427,0.94781,0.7248,0.93311,0.52501,1.41628,0.000402182,0.000402182,0.000402182
60,4688.68,0.81371,0.57972,1.29455,0.95076,0.92925,0.9481,0.72452,0.93361,0.52205,1.42135,0.000389961,0.000389961,0.000389961
61,4764.88,0.80923,0.56235,1.29034,0.9639,0.92044,0.94907,0.71349,0.95125,0.5383,1.43944,0.00037774,0.00037774,0.00037774
62,4842.17,0.80352,0.57158,1.28911,0.95014,0.9332,0.95058,0.72555,0.93638,0.52028,1.42446,0.000365519,0.000365519,0.000365519
63,4919.68,0.817,0.56647,1.29738,0.96803,0.92042,0.95094,0.72505,0.93671,0.51864,1.41236,0.000353298,0.000353298,0.000353298
64,4997.23,0.8092,0.56501,1.29207,0.96649,0.92184,0.95046,0.72957,0.92772,0.51386,1.41039,0.000341077,0.000341077,0.000341077
65,5074.26,0.79656,0.56258,1.28566,0.96265,0.92602,0.94965,0.72643,0.94053,0.51789,1.41782,0.000328856,0.000328856,0.000328856
66,5151.74,0.80762,0.56664,1.28608,0.96352,0.92623,0.94827,0.72389,0.94169,0.51642,1.41535,0.000316635,0.000316635,0.000316635
67,5227.44,0.79839,0.55852,1.28643,0.95908,0.92929,0.95059,0.72917,0.92816,0.51226,1.41163,0.000304414,0.000304414,0.000304414
68,5304.59,0.79048,0.54362,1.27129,0.96098,0.92795,0.94648,0.72878,0.92736,0.51687,1.40539,0.000292193,0.000292193,0.000292193
69,5381.84,0.78941,0.55217,1.27777,0.95606,0.93578,0.94933,0.72937,0.92512,0.51722,1.40264,0.000279972,0.000279972,0.000279972
70,5459.61,0.78805,0.54446,1.26986,0.96552,0.93222,0.9516,0.73716,0.9104,0.50356,1.38774,0.000267751,0.000267751,0.000267751
71,5537.46,0.79853,0.54554,1.2774,0.95669,0.92884,0.94645,0.73099,0.9239,0.51526,1.40106,0.00025553,0.00025553,0.00025553
72,5615.08,0.78536,0.53739,1.27112,0.96868,0.92463,0.95034,0.73366,0.91609,0.50077,1.39249,0.000243309,0.000243309,0.000243309
73,5691.32,0.78297,0.53639,1.27084,0.96704,0.92917,0.94952,0.72688,0.92814,0.50887,1.40304,0.000231088,0.000231088,0.000231088
74,5768.63,0.77457,0.54039,1.263,0.95592,0.93485,0.94706,0.73002,0.92644,0.50772,1.40121,0.000218867,0.000218867,0.000218867
75,5846.18,0.779,0.5401,1.26656,0.97313,0.92447,0.95198,0.73428,0.93391,0.50037,1.41122,0.000206646,0.000206646,0.000206646
76,5922.52,0.76551,0.52976,1.25852,0.95833,0.92856,0.94692,0.72947,0.92308,0.51301,1.40617,0.000194425,0.000194425,0.000194425
77,5999.05,0.76817,0.53253,1.26641,0.9682,0.92825,0.95263,0.73616,0.91471,0.50406,1.39322,0.000182204,0.000182204,0.000182204
78,6075.95,0.77319,0.52925,1.26499,0.97242,0.92496,0.95314,0.73355,0.91891,0.49592,1.39341,0.000169983,0.000169983,0.000169983
79,6153.48,0.75857,0.5135,1.25775,0.96957,0.92694,0.95445,0.73408,0.91673,0.49891,1.38882,0.000157762,0.000157762,0.000157762
80,6231.57,0.77091,0.51878,1.2637,0.96793,0.9284,0.95144,0.73546,0.91549,0.49132,1.39271,0.000145541,0.000145541,0.000145541
81,6338.06,0.76528,0.42717,1.39097,0.97316,0.92654,0.94821,0.73262,0.91763,0.4959,1.38899,0.00013332,0.00013332,0.00013332
82,6414.12,0.75099,0.41568,1.37932,0.96696,0.92893,0.94994,0.73576,0.91247,0.4938,1.39755,0.000121099,0.000121099,0.000121099
83,6490.7,0.75152,0.40648,1.37716,0.96245,0.92705,0.94822,0.73606,0.90973,0.5007,1.39699,0.000108878,0.000108878,0.000108878
