epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5751,1.1184228,2.1291435,1.5503301,0.7799119000000001,0.776791,0.7934762,0.4907691,1.2434598,1.7037801,1.8221840999999999,0.00036527238000000004,0.00036527238000000004,0.00036527238000000004
2,163.291,1.1241648,1.4368266,1.5317379,0.8476829,0.659328,0.7605098,0.43509790000000004,1.4497263,1.419759,2.0647638,0.0007238513699999999,0.0007238513699999999,0.0007238513699999999
3,241.49,1.1464596,1.2894354,1.5466670999999999,0.7795685,0.7733065,0.8147468,0.4772755,1.3714866000000001,1.3561218,1.9889594999999998,0.0010743678,0.0010743678,0.0010743678
4,319.11,1.1245509,1.1424896999999998,1.5231348,0.8409462000000001,0.8306038,0.8641762000000001,0.5510459,1.3013847,1.0465586999999998,1.8846729,0.0010635966,0.0010635966,0.0010635966
5,397.062,1.1042262,1.0764666,1.5117498,0.8768617999999999,0.8568638000000001,0.8906483000000001,0.5801945000000001,1.273734,1.0033055999999998,1.7871183,0.0010514988,0.0010514988,0.0010514988
6,474.727,1.074447,1.0177596,1.4934348000000002,0.916575,0.8735692,0.9048085,0.5979705,1.1954151,0.8490735,1.7505377999999998,0.0010393911,0.0010393911,0.0010393911
7,553.37,1.0549142999999999,0.9718335,1.4743773,0.8778112,0.8808412,0.900112,0.6065151,1.1473407,0.8531424,1.6839305999999998,0.0010272933,0.0010272933,0.0010272933
8,632.215,1.0445985,0.9329562,1.4572106999999999,0.898496,0.8974658000000001,0.9171305000000001,0.6220287,1.1298770999999999,0.8111862,1.6643286000000002,0.0010151955,0.0010151955,0.0010151955
9,710.714,1.0209275999999998,0.9226008,1.4460336,0.9180799,0.8723168,0.9294525,0.6403703,1.1033154,0.7711803,1.6363611,0.0010030977,0.0010030977,0.0010030977
10,789.341,1.0107306,0.8943462,1.4353713,0.8776092,0.8555407,0.9078183000000001,0.6309369,1.1276397,0.8151264,1.6564086,0.0009909999,0.0009909999,0.0009909999
11,867.731,1.0001376,0.8665569000000001,1.4262632999999998,0.6845477,0.5932740000000001,0.6553486,0.4269674,1.300761,1.7186004,1.8574479,0.0009789021,0.0009789021,0.0009789021
12,945.851,0.9819216000000001,0.8364213,1.4090472,0.9277456000000001,0.9170093,0.9332198,0.6467837999999999,1.0853172,0.7178787000000001,1.5821981999999999,0.0009668033100000001,0.0009668033100000001,0.0009668033100000001
13,1024.07,0.975546,0.8351738999999999,1.4065227,0.9343610999999999,0.9233622,0.9356337,0.6507834,1.063161,0.6758928,1.573704,0.00095470452,0.00095470452,0.00095470452
14,1102.56,0.9743283,0.8253531000000001,1.4059286999999998,0.9096059999999999,0.8870527,0.9120603,0.6255839,1.1014541999999998,0.7398567,1.6558641,0.00094260573,0.00094260573,0.00094260573
15,1180.59,0.9749718,0.8073945,1.4122647000000002,0.9385829,0.9266649,0.9393,0.6668525,1.0775556000000002,0.6727346999999999,1.5662196,0.00093050694,0.00093050694,0.00093050694
16,1258.97,0.9678933000000001,0.8035829999999999,1.402533,0.928897,0.9126259,0.9344217,0.6761344,1.0461825,0.6729129,1.551924,0.0009184081500000001,0.0009184081500000001,0.0009184081500000001
