epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5751,1.11616336,2.1248422000000002,1.54719812,0.78145628,0.7783292,0.7950474399999999,0.49174092,1.2409477599999998,1.70033812,1.81850292,0.00036527238000000004,0.00036527238000000004,0.00036527238000000004
2,163.291,1.12189376,1.43392392,1.52864348,0.84936148,0.6606336,0.76201576,0.43595948,1.44679756,1.4168908,2.06059256,0.0007238513699999999,0.0007238513699999999,0.0007238513699999999
3,241.49,1.1441435199999999,1.2868304799999999,1.54354252,0.7811122,0.7748378,0.81636016,0.47822060000000005,1.36871592,1.35338216,1.9849413999999999,0.0010743678,0.0010743678,0.0010743678
4,319.11,1.12227908,1.1401816399999998,1.52005776,0.84261144,0.83224856,0.8658874400000001,0.5521370800000001,1.29875564,1.04444444,1.88086548,0.0010635966,0.0010635966,0.0010635966
5,397.062,1.10199544,1.07429192,1.50869576,0.8785981599999999,0.85856056,0.89241196,0.5813434000000001,1.2711607999999999,1.00127872,1.78350796,0.0010514988,0.0010514988,0.0010514988
6,474.727,1.0722764,1.01570352,1.4904177600000001,0.9183899999999999,0.87529904,0.9066002000000001,0.5991546,1.19300012,0.8473582000000001,1.7470013599999998,0.0010393911,0.0010393911,0.0010393911
7,553.37,1.05278316,0.9698702,1.47139876,0.87954944,0.88258544,0.9018944,0.60771612,1.14502284,0.85141888,1.6805287199999999,0.0010272933,0.0010272933,0.0010272933
8,632.215,1.0424882,0.93107144,1.4542668399999998,0.9002751999999999,0.89924296,0.9189466000000001,0.62326044,1.12759452,0.80954744,1.66096632,0.0010151955,0.0010151955,0.0010151955
9,710.714,1.0188651199999998,0.9207369599999999,1.44311232,0.91989788,0.87404416,0.931293,0.64163836,1.10108648,0.7696223600000001,1.63305532,0.0010030977,0.0010030977,0.0010030977
10,789.341,1.0086887199999999,0.89253944,1.43247156,0.8793470400000001,0.85723484,0.90961596,0.63218628,1.12536164,0.8134796799999999,1.65306232,0.0009909999,0.0009909999,0.0009909999
11,867.731,0.99811712,0.86480628,1.42338196,0.68590324,0.5944488,0.65664632,0.42781288,1.2981332,1.71512848,1.8536954799999998,0.0009789021,0.0009789021,0.0009789021
12,945.851,0.97993792,0.83473156,1.40620064,0.9295827200000001,0.91882516,0.93506776,0.6480645599999999,1.0831246399999999,0.71642844,1.5790018399999999,0.0009668033100000001,0.0009668033100000001,0.0009668033100000001
13,1024.07,0.9735752000000001,0.8334866799999999,1.40368124,0.93621132,0.9251906400000001,0.93748644,0.65207208,1.0610132,0.67452736,1.5705247999999998,0.00095470452,0.00095470452,0.00095470452
14,1102.56,0.97235996,0.8236857200000001,1.4030884399999999,0.9114072,0.8888092400000001,0.91386636,0.62682268,1.09922904,0.73836204,1.6525189200000001,0.00094260573,0.00094260573,0.00094260573
15,1180.59,0.9730021600000001,0.8057634,1.40941164,0.9404414799999999,0.92849988,0.9411600000000001,0.668173,1.07537872,0.6713756399999999,1.5630555199999998,0.00093050694,0.00093050694,0.00093050694
16,1258.97,0.96593796,0.8019596,1.3996996000000002,0.9307364,0.91443308,0.9362720400000001,0.6774732800000001,1.0440690000000001,0.67155348,1.5487888,0.0009184081500000001,0.0009184081500000001,0.0009184081500000001
17,1337.22,0.95384484,0.7793739199999999,1.38880196,0.9214361200000001,0.91694284,0.92802424,0.65923704,1.07782896,0.7011934799999999,1.5801083999999999,0.00090630936,0.00090630936,0.00090630936
18,1415.73,0.95059432,0.77432524,1.38555144,0.94798088,0.91285436,0.9375269199999999,0.67533796,1.04198432,0.67436928,1.5352334399999998,0.00089421057,0.00089421057,0.00089421057
19,1493.7,0.94580252,0.75491104,1.38085844,0.948497,0.91586,0.93863,0.6852454400000001,1.00709804,0.65784992,1.5144558000000001,0.00088211178,0.00088211178,0.00088211178
20,1571.74,0.93406508,0.75096892,1.36969404,0.93208236,0.9385490400000001,0.9419088800000001,0.68199692,1.01811424,0.62710336,1.5220634000000002,0.00087001299,0.00087001299,0.00087001299
21,1649.72,0.93006368,0.74402328,1.37500948,0.89968824,0.86501712,0.9204241200000001,0.6345746,1.12764392,0.8082037599999999,1.6190356000000001,0.0008579142,0.0008579142,0.0008579142
22,1728.03,0.914147,0.7317128,1.3669572799999998,0.93931816,0.93037208,0.94138264,0.69295688,1.00915308,0.61367644,1.51209448,0.00084581541,0.00084581541,0.00084581541
23,1805.92,0.9291744799999999,0.73104096,1.36468488,0.93315508,0.9237333600000001,0.93693996,0.6622528,1.0627619599999998,0.6604286,1.56796588,0.00083371662,0.00083371662,0.00083371662
24,1884.08,0.91561912,0.72859072,1.36414148,0.95818184,0.91708452,0.945967,0.69507196,1.00053772,0.61256,1.50098936,0.00082161783,0.00082161783,0.00082161783
